home_team,away_team,home_goals,away_goals,result,season
AFC Bournemouth,Arsenal,0.0,2.0,LOSE,2015-2016
AFC Bournemouth,Arsenal,2.0,1.0,-WIN,2017-2018
AFC Bournemouth,Arsenal,3.0,3.0,DRAW,2016-2017
AFC Bournemouth,Aston Villa,0.0,1.0,LOSE,2015-2016
AFC Bournemouth,Brighton and Hove Albion,2.0,1.0,-WIN,2017-2018
AFC Bournemouth,Burnley,1.0,2.0,LOSE,2017-2018
AFC Bournemouth,Burnley,2.0,1.0,-WIN,2016-2017
AFC Bournemouth,Chelsea,0.0,1.0,LOSE,2017-2018
AFC Bournemouth,Chelsea,1.0,3.0,LOSE,2016-2017
AFC Bournemouth,Chelsea,1.0,4.0,LOSE,2015-2016
AFC Bournemouth,Crystal Palace,0.0,0.0,DRAW,2015-2016
AFC Bournemouth,Crystal Palace,0.0,2.0,LOSE,2016-2017
AFC Bournemouth,Crystal Palace,2.0,2.0,DRAW,2017-2018
AFC Bournemouth,Everton,1.0,0.0,-WIN,2016-2017
AFC Bournemouth,Everton,2.0,1.0,-WIN,2017-2018
AFC Bournemouth,Everton,3.0,3.0,DRAW,2015-2016
AFC Bournemouth,Huddersfield Town,4.0,0.0,-WIN,2017-2018
AFC Bournemouth,Hull City,6.0,1.0,-WIN,2016-2017
AFC Bournemouth,Leicester City,0.0,0.0,DRAW,2017-2018
AFC Bournemouth,Leicester City,1.0,0.0,-WIN,2016-2017
AFC Bournemouth,Leicester City,1.0,1.0,DRAW,2015-2016
AFC Bournemouth,Liverpool,0.0,4.0,LOSE,2017-2018
AFC Bournemouth,Liverpool,1.0,2.0,LOSE,2015-2016
AFC Bournemouth,Liverpool,4.0,3.0,-WIN,2016-2017
AFC Bournemouth,Manchester City,0.0,2.0,LOSE,2016-2017
AFC Bournemouth,Manchester City,0.0,4.0,LOSE,2015-2016
AFC Bournemouth,Manchester City,1.0,2.0,LOSE,2017-2018
AFC Bournemouth,Manchester United,0.0,2.0,LOSE,2017-2018
AFC Bournemouth,Manchester United,1.0,3.0,LOSE,2016-2017
AFC Bournemouth,Manchester United,2.0,1.0,-WIN,2015-2016
AFC Bournemouth,Middlesbrough,4.0,0.0,-WIN,2016-2017
AFC Bournemouth,Newcastle United,0.0,1.0,LOSE,2015-2016
AFC Bournemouth,Newcastle United,2.0,2.0,DRAW,2017-2018
AFC Bournemouth,Norwich City,3.0,0.0,-WIN,2015-2016
AFC Bournemouth,Southampton,1.0,1.0,DRAW,2017-2018
AFC Bournemouth,Southampton,1.0,3.0,LOSE,2016-2017
AFC Bournemouth,Southampton,2.0,0.0,-WIN,2015-2016
AFC Bournemouth,Stoke City,1.0,3.0,LOSE,2015-2016
AFC Bournemouth,Stoke City,2.0,1.0,-WIN,2017-2018
AFC Bournemouth,Stoke City,2.0,2.0,DRAW,2016-2017
AFC Bournemouth,Sunderland,1.0,2.0,LOSE,2016-2017
AFC Bournemouth,Sunderland,2.0,0.0,-WIN,2015-2016
AFC Bournemouth,Swansea City,1.0,0.0,-WIN,2017-2018
AFC Bournemouth,Swansea City,2.0,0.0,-WIN,2016-2017
AFC Bournemouth,Swansea City,3.0,2.0,-WIN,2015-2016
AFC Bournemouth,Tottenham Hotspur,0.0,0.0,DRAW,2016-2017
AFC Bournemouth,Tottenham Hotspur,1.0,4.0,LOSE,2017-2018
AFC Bournemouth,Tottenham Hotspur,1.0,5.0,LOSE,2015-2016
AFC Bournemouth,Watford,0.0,2.0,LOSE,2017-2018
AFC Bournemouth,Watford,1.0,1.0,DRAW,2015-2016
AFC Bournemouth,Watford,2.0,2.0,DRAW,2016-2017
AFC Bournemouth,West Bromwich Albion,1.0,0.0,-WIN,2016-2017
AFC Bournemouth,West Bromwich Albion,1.0,1.0,DRAW,2015-2016
AFC Bournemouth,West Bromwich Albion,2.0,1.0,-WIN,2017-2018
AFC Bournemouth,West Ham United,1.0,3.0,LOSE,2015-2016
AFC Bournemouth,West Ham United,3.0,2.0,-WIN,2016-2017
AFC Bournemouth,West Ham United,3.0,3.0,DRAW,2017-2018
